timestamp, ax(m/s^2), ay(m/s^2), omega_z(rad/s)
1703098108099358976,1.422449,10.153072,0.498373
1703098108107824640,1.371761,10.118496,0.499921
1703098108124387328,1.414617,10.141011,0.499321
1703098108132749824,1.472924,10.143148,0.499785
1703098108141036032,1.452375,10.146715,0.498367
1703098108149305856,1.438172,10.144792,0.499615
1703098108157762560,1.444747,10.115265,0.500634
1703098108166017536,1.426574,10.116202,0.499173
1703098108174461184,1.505971,10.125576,0.499548
1703098108182509824,1.418754,10.116287,0.498252
1703098108191193344,1.459699,10.135859,0.498667
1703098108199193344,1.510056,10.120406,0.499356
1703098108207739904,1.486220,10.130245,0.499401
1703098108215825920,1.451500,10.140846,0.498139
1703098108224258048,1.486660,10.124168,0.498893
1703098108232498176,1.499561,10.149309,0.499844
1703098108240964096,1.461297,10.160222,0.499825
1703098108249179904,1.492674,10.118376,0.499665
1703098108257663488,1.475289,10.103658,0.500668
1703098108265944320,1.525207,10.143164,0.500209
1703098108274270720,1.476284,10.174883,0.499048
1703098108282585344,1.523200,10.122444,0.498568
1703098108299261440,1.537667,10.139477,0.498767
1703098108307664384,1.523627,10.154192,0.499124
1703098108316072960,1.527572,10.156521,0.499675
1703098108324220416,1.531619,10.168172,0.498106
1703098108332684544,1.564100,10.151592,0.499811
1703098108340965888,1.528215,10.102783,0.500158
1703098108349320192,1.535350,10.207195,0.498329
1703098108366040576,1.558615,10.178803,0.498247
1703098108374233344,1.558275,10.167978,0.498120
1703098108382904320,1.548903,10.166392,0.500477
1703098108390928640,1.553314,10.147021,0.497821
1703098108399367424,1.533687,10.208689,0.499620
1703098108407722240,1.547115,10.204820,0.498432
1703098108416141568,1.534596,10.135445,0.496581
1703098108424233216,1.584053,10.137025,0.497872
1703098108432744192,1.547133,10.198267,0.498753
1703098108440869888,1.585770,10.176297,0.497873
1703098108449373184,1.556169,10.212916,0.497793
1703098108457556480,1.597494,10.196984,0.497078
1703098108466036736,1.578221,10.246733,0.498484
1703098108474191872,1.600684,10.166451,0.497859
1703098108482658304,1.608133,10.188146,0.497040
1703098108490981376,1.614695,10.222853,0.498768
1703098108499318784,1.588643,10.193644,0.497956
1703098108507627776,1.574796,10.175891,0.498905
1703098108515907840,1.608148,10.201124,0.497478
1703098108532582144,1.590540,10.241556,0.498548
1703098108540995584,1.604961,10.204689,0.495526
1703098108549369344,1.607268,10.284717,0.501970
1703098108557729024,1.235943,10.233824,0.497946
1703098108565891584,0.998627,10.294231,0.497025
1703098108574433024,0.688822,10.267554,0.498199
1703098108582575360,0.355854,10.234873,0.498122
1703098108591055104,0.176614,10.295554,0.498197
1703098108599223808,-0.032524,10.233938,0.499703
1703098108607718144,-0.146304,10.256226,0.501002
1703098108615956992,-0.276494,10.247683,0.500101
1703098108624365824,-0.340764,10.319894,0.504542
1703098108632603904,-0.421460,10.308097,0.507146
1703098108641061376,-0.433224,10.326159,0.506877
1703098108657684992,-0.447716,10.345927,0.508587
